,+2+2,+2+1,+1+2,+1+1,+2+0,+0+2,+1+0,+0+1,+0+0,+0-1,-1+0,+0-2,-2+0,-1-1,-1-2,-2-1,-2-2,-1+1,+1-1,-2+1,+1-2,-1+2,+2-1,-2+2,+2-2
+2+2,0.550259769595663,0.09125818838942851,0.08222272419245538,0.05217980573751976,0.060989383329568554,0.056697537836006326,0.03026880505985995,0.02688050598599503,0.028687598825389654,0.002484752654167608,0.0029365258640162636,0.00338829907386492,0.0013553196295459679,0.00045177320984865596,0.00045177320984865596,0.00022588660492432798,0.0018070928393946238,0.001581206234470296,0.0009035464196973119,0.00045177320984865596,0.0009035464196973119,0.0,0.0018070928393946238,0.00045177320984865596,0.0013553196295459679
+2+1,0.1840880236986881,0.23571730850613626,0.044858231062209056,0.16419805332204823,0.082945408379179,0.025391451544646636,0.08167583580194668,0.07744392721117224,0.07955988150655946,0.004655099449851883,0.0012695725772323319,0.0021159542953872196,0.0021159542953872196,0.0016927634363097758,0.00042319085907744394,0.0,0.00042319085907744394,0.0008463817181548879,0.004655099449851883,0.00042319085907744394,0.0025391451544646637,0.0,0.0016927634363097758,0.0008463817181548879,0.00042319085907744394
+1+2,0.16322948661693726,0.0434401053093462,0.23826239578762615,0.16937253181219833,0.025449758666081616,0.0868802106186924,0.08117595436594997,0.08205353225098727,0.08424747696358052,0.003949100482667837,0.002193944712593243,0.0013163668275559457,0.002193944712593243,0.00043878894251864854,0.002193944712593243,0.0013163668275559457,0.002193944712593243,0.004387889425186486,0.0013163668275559457,0.0013163668275559457,0.00043878894251864854,0.0013163668275559457,0.0,0.00043878894251864854,0.0008775778850372971
+1+1,0.045469049138481175,0.06062539885130823,0.05823229100191449,0.29020421186981493,0.019304403318442884,0.018028079132099552,0.16432673899170389,0.15044671346522018,0.16687938736439056,0.004945756222080409,0.003669432035737077,0.0022335673261008296,0.0022335673261008296,0.000797702616464582,0.0004786215698787492,0.0011167836630504148,0.000797702616464582,0.0022335673261008296,0.004786215698787492,0.0017549457562220803,0.0006381620931716656,0.0001595405232929164,0.0004786215698787492,0.0,0.0001595405232929164
+2+0,0.12708102108768035,0.09211986681465038,0.033296337402885685,0.06825749167591565,0.17258601553829078,0.026082130965593784,0.1781354051054384,0.039400665926748055,0.232519422863485,0.004994450610432853,0.004994450610432853,0.001664816870144284,0.0022197558268590455,0.0005549389567147614,0.0,0.0,0.0005549389567147614,0.0005549389567147614,0.006104328523862375,0.0005549389567147614,0.004439511653718091,0.0011098779134295228,0.0011098779134295228,0.0,0.001664816870144284
+0+2,0.13181019332161686,0.02753368482718219,0.0773286467486819,0.0626830697129467,0.0210896309314587,0.17398945518453426,0.03983596953719976,0.18570591681312243,0.2536613942589338,0.004100761570005858,0.0017574692442882249,0.0023432923257176333,0.0011716461628588166,0.0,0.0,0.0011716461628588166,0.0011716461628588166,0.004100761570005858,0.0011716461628588166,0.0017574692442882249,0.0005858230814294083,0.0035149384885764497,0.0,0.0035149384885764497,0.0
+1+0,0.014847809948032665,0.023650440131509173,0.01834765086435465,0.09651076466221233,0.030119843037437692,0.008908685968819599,0.29069890762541095,0.053558171598260686,0.43313182734118144,0.008484462827447237,0.006469402905928519,0.0030756177749496237,0.0027574504189203522,0.00042422314137236184,0.0005302789267154523,0.0010605578534309047,0.0005302789267154523,0.0012726694241170856,0.004242231413723619,0.00021211157068618092,0.0007423904974016332,0.00010605578534309046,0.00010605578534309046,0.0,0.00021211157068618092
+0+1,0.015842988886261528,0.02021754551903523,0.02553795223457082,0.09564908961929534,0.00851265074485694,0.02884842752423741,0.056514542445022464,0.28068101205958856,0.4329628753842516,0.009458500827618822,0.0072121068810593525,0.005675100496571293,0.0022463939465594703,0.0004729250413809411,0.0007093875620714117,0.0005911563017261764,0.0004729250413809411,0.0036651690707022937,0.0010640813431071175,0.0020099314258689997,0.0004729250413809411,0.0007093875620714117,0.00023646252069047056,0.00011823126034523528,0.00011823126034523528
+0+0,0.00043543190540366026,0.0005115910979837682,0.000496690386392008,0.002567889297646681,0.0008344398491385733,0.0009420560995235084,0.0070993612561631,0.006735121639475627,0.9760181325103725,0.0014635810052351166,0.0014072894281106892,0.0005066241941198481,0.0004884122132854745,9.43711734144815e-05,4.304650015397402e-05,4.139086553266733e-05,3.9735230911360635e-05,7.11922887161878e-05,0.00010264934652101497,3.476832704744055e-05,4.304650015397402e-05,6.622538485226772e-06,4.966903863920079e-06,3.311269242613386e-06,8.278173106533466e-06
+0-1,0.0034989503149055285,0.002099370188943317,0.004198740377886634,0.018894331700489854,0.002099370188943317,0.0013995801259622112,0.05038488453463961,0.041287613715885234,0.6179146256123164,0.1483554933519944,0.016794961511546535,0.04758572428271519,0.010496850944716585,0.012596221133659902,0.002099370188943317,0.0027991602519244225,0.004198740377886634,0.0006997900629811056,0.010496850944716585,0.0006997900629811056,0.0,0.0,0.0006997900629811056,0.0,0.0006997900629811056
-1+0,0.0007342143906020558,0.005139500734214391,0.004405286343612335,0.02276064610866373,0.0014684287812041115,0.0022026431718061676,0.04552129221732746,0.041116005873715125,0.6350954478707783,0.019823788546255508,0.13142437591776798,0.013215859030837005,0.04331864904552129,0.009544787077826725,0.007342143906020558,0.003671071953010279,0.005873715124816446,0.004405286343612335,0.0014684287812041115,0.0,0.0007342143906020558,0.0,0.0,0.0007342143906020558,0.0
+0-2,0.0031397174254317113,0.007849293563579277,0.0015698587127158557,0.0141287284144427,0.0,0.006279434850863423,0.029827315541601257,0.03610675039246468,0.5133437990580848,0.12244897959183673,0.018838304552590265,0.18210361067503925,0.007849293563579277,0.012558869701726845,0.023547880690737835,0.0031397174254317113,0.004709576138147566,0.0,0.007849293563579277,0.0,0.004709576138147566,0.0,0.0,0.0,0.0
-2+0,0.0,0.003937007874015748,0.001968503937007874,0.007874015748031496,0.005905511811023622,0.0,0.045275590551181105,0.027559055118110236,0.5039370078740157,0.011811023622047244,0.12598425196850394,0.00984251968503937,0.1889763779527559,0.005905511811023622,0.001968503937007874,0.013779527559055118,0.031496062992125984,0.007874015748031496,0.0,0.003937007874015748,0.001968503937007874,0.0,0.0,0.0,0.0
-1-1,0.0,0.0,0.015267175572519083,0.007633587786259542,0.0,0.007633587786259542,0.061068702290076333,0.03816793893129771,0.3969465648854962,0.13740458015267176,0.12213740458015267,0.05343511450381679,0.03816793893129771,0.05343511450381679,0.022900763358778626,0.0,0.022900763358778626,0.0,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.0,0.0,0.0,0.0
-1-2,0.011904761904761904,0.0,0.047619047619047616,0.023809523809523808,0.0,0.023809523809523808,0.047619047619047616,0.03571428571428571,0.2857142857142857,0.11904761904761904,0.10714285714285714,0.14285714285714285,0.023809523809523808,0.03571428571428571,0.047619047619047616,0.0,0.03571428571428571,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2-1,0.012345679012345678,0.012345679012345678,0.0,0.037037037037037035,0.0,0.0,0.07407407407407407,0.04938271604938271,0.345679012345679,0.012345679012345678,0.07407407407407407,0.037037037037037035,0.09876543209876543,0.04938271604938271,0.037037037037037035,0.07407407407407407,0.06172839506172839,0.012345679012345678,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0
-2-2,0.010101010101010102,0.010101010101010102,0.020202020202020204,0.030303030303030304,0.0,0.010101010101010102,0.020202020202020204,0.020202020202020204,0.25252525252525254,0.06060606060606061,0.04040404040404041,0.0707070707070707,0.12121212121212122,0.04040404040404041,0.06060606060606061,0.06060606060606061,0.12121212121212122,0.010101010101010102,0.010101010101010102,0.030303030303030304,0.0,0.0,0.0,0.0,0.0
-1+1,0.020833333333333332,0.013888888888888888,0.027777777777777776,0.10416666666666667,0.006944444444444444,0.013888888888888888,0.027777777777777776,0.2986111111111111,0.2847222222222222,0.0,0.04861111111111111,0.013888888888888888,0.020833333333333332,0.006944444444444444,0.0,0.006944444444444444,0.006944444444444444,0.05555555555555555,0.0,0.027777777777777776,0.0,0.013888888888888888,0.0,0.0,0.0
+1-1,0.013452914798206279,0.017937219730941704,0.017937219730941704,0.13452914798206278,0.017937219730941704,0.013452914798206279,0.21524663677130046,0.05829596412556054,0.2600896860986547,0.08520179372197309,0.008968609865470852,0.04932735426008968,0.0,0.008968609865470852,0.0,0.0,0.004484304932735426,0.004484304932735426,0.08071748878923767,0.0,0.008968609865470852,0.0,0.0,0.0,0.0
-2+1,0.014492753623188406,0.0,0.043478260869565216,0.043478260869565216,0.0,0.014492753623188406,0.057971014492753624,0.13043478260869565,0.36231884057971014,0.014492753623188406,0.11594202898550725,0.028985507246376812,0.014492753623188406,0.0,0.0,0.0,0.0,0.07246376811594203,0.014492753623188406,0.07246376811594203,0.0,0.0,0.0,0.0,0.0
+1-2,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.06944444444444445,0.027777777777777776,0.013888888888888888,0.20833333333333334,0.0,0.3333333333333333,0.041666666666666664,0.027777777777777776,0.05555555555555555,0.0,0.027777777777777776,0.0,0.013888888888888888,0.0,0.0,0.013888888888888888,0.0,0.027777777777777776,0.0,0.013888888888888888,0.0,0.013888888888888888
-1+2,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.25925925925925924,0.0,0.07407407407407407,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.0,0.07407407407407407,0.0,0.037037037037037035,0.0,0.0,0.0
+2-1,0.25,0.07142857142857142,0.0,0.10714285714285714,0.07142857142857142,0.03571428571428571,0.10714285714285714,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
-2+2,0.0625,0.0625,0.0,0.0,0.0625,0.25,0.0,0.0625,0.125,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0625,0.0,0.125,0.0,0.0,0.0,0.0,0.0
+2-2,0.17647058823529413,0.23529411764705882,0.0,0.0,0.058823529411764705,0.0,0.17647058823529413,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0
